epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6869.98,0.52732,0.53798,1.09639,0.92099,0.89092,0.93488,0.88169,0.26787,0.30552,0.8951,0.0044296,0.0044296,0.0044296
56,6993.93,0.51693,0.53441,1.09372,0.9285,0.88476,0.94149,0.88687,0.26539,0.29108,0.89223,0.00427565,0.00427565,0.00427565
57,7117.81,0.51486,0.51804,1.0932,0.90892,0.89601,0.94295,0.88858,0.26552,0.29064,0.89175,0.00412246,0.00412246,0.00412246
58,7242.14,0.50962,0.51886,1.08477,0.92766,0.89269,0.94308,0.88887,0.26641,0.28103,0.89369,0.00397019,0.00397019,0.00397019
59,7366.36,0.50894,0.51507,1.08728,0.91362,0.89277,0.9418,0.88864,0.26234,0.29845,0.89428,0.00381899,0.00381899,0.00381899
60,7490.49,0.50343,0.50692,1.08153,0.94569,0.89331,0.94936,0.89704,0.26034,0.28873,0.89023,0.00366899,0.00366899,0.00366899
61,7614.85,0.49863,0.50644,1.07977,0.93068,0.90319,0.94706,0.8941,0.26505,0.28657,0.89597,0.00352037,0.00352037,0.00352037
62,7739.33,0.50529,0.50682,1.08233,0.93872,0.89863,0.94811,0.89292,0.26118,0.2805,0.88843,0.00337325,0.00337325,0.00337325
63,7863.29,0.49676,0.4918,1.0801,0.93384,0.90404,0.94877,0.89657,0.26355,0.28375,0.89022,0.00322778,0.00322778,0.00322778
64,7987.28,0.48948,0.47947,1.07328,0.93097,0.89135,0.94104,0.88971,0.26046,0.28361,0.8906,0.00308412,0.00308412,0.00308412
65,8111.42,0.48881,0.47541,1.07067,0.94296,0.89837,0.94475,0.89184,0.25743,0.28025,0.88993,0.00294239,0.00294239,0.00294239
66,8235.63,0.48835,0.48078,1.07203,0.9257,0.89762,0.94265,0.8941,0.25605,0.27663,0.88879,0.00280275,0.00280275,0.00280275
67,8359.84,0.48951,0.47432,1.07507,0.93835,0.88739,0.94387,0.89077,0.2584,0.27079,0.89302,0.00266532,0.00266532,0.00266532
68,8483.99,0.47537,0.46046,1.06191,0.9319,0.89867,0.94376,0.89006,0.2554,0.2754,0.89139,0.00253024,0.00253024,0.00253024
69,8607.85,0.47815,0.46194,1.06689,0.93408,0.90432,0.94291,0.88852,0.25645,0.27392,0.891,0.00239766,0.00239766,0.00239766
70,8731.96,0.47743,0.46195,1.06879,0.94104,0.89035,0.94317,0.89074,0.25904,0.27865,0.89248,0.00226769,0.00226769,0.00226769
71,8856.2,0.48091,0.46301,1.06642,0.93125,0.90309,0.94565,0.89237,0.25758,0.27709,0.88996,0.00214046,0.00214046,0.00214046
72,8980.63,0.46754,0.43745,1.05605,0.92921,0.89557,0.94502,0.89211,0.25626,0.28012,0.88812,0.00201611,0.00201611,0.00201611
73,9104.74,0.4716,0.44902,1.0612,0.93959,0.89239,0.94345,0.88876,0.25165,0.27906,0.8849,0.00189475,0.00189475,0.00189475
74,9228.97,0.46575,0.44017,1.05878,0.9401,0.89278,0.93989,0.88701,0.25164,0.28196,0.88554,0.00177651,0.00177651,0.00177651
75,9353.31,0.45785,0.43304,1.053,0.92165,0.90214,0.93993,0.88885,0.25314,0.28096,0.88568,0.00166149,0.00166149,0.00166149
76,9477.35,0.46274,0.44108,1.05988,0.9267,0.89669,0.94007,0.89072,0.25388,0.28063,0.88572,0.00154982,0.00154982,0.00154982
77,9601.54,0.45034,0.42497,1.0495,0.93183,0.89044,0.94008,0.89169,0.24897,0.27708,0.88159,0.00144161,0.00144161,0.00144161
78,9725.67,0.45143,0.41971,1.05128,0.91551,0.90897,0.94017,0.89262,0.24878,0.28156,0.88254,0.00133695,0.00133695,0.00133695
79,9850.04,0.45076,0.4246,1.05233,0.92629,0.90373,0.94053,0.89036,0.24798,0.27822,0.88138,0.00123596,0.00123596,0.00123596
80,9974.51,0.45882,0.42957,1.05788,0.92535,0.90028,0.94106,0.88912,0.24686,0.2773,0.88028,0.00113873,0.00113873,0.00113873
81,10098.7,0.44245,0.41782,1.0511,0.92074,0.90279,0.94148,0.89158,0.24917,0.27443,0.88375,0.00104537,0.00104537,0.00104537
82,10223.2,0.44242,0.40959,1.04686,0.92242,0.91046,0.9443,0.89348,0.24967,0.26901,0.8838,0.000955951,0.000955951,0.000955951
83,10347.3,0.44341,0.41446,1.04582,0.92173,0.91253,0.94388,0.89347,0.24999,0.27077,0.88429,0.000870577,0.000870577,0.000870577
84,10471.5,0.43626,0.40589,1.0401,0.92953,0.90369,0.94389,0.89365,0.24933,0.27379,0.88488,0.000789327,0.000789327,0.000789327
85,10596.3,0.43956,0.40836,1.04394,0.92596,0.90248,0.9452,0.89363,0.24952,0.27231,0.88552,0.000712282,0.000712282,0.000712282
86,10720.6,0.43589,0.40589,1.04355,0.92288,0.91217,0.9448,0.89273,0.24842,0.27288,0.88414,0.000639518,0.000639518,0.000639518
87,10845,0.43557,0.40137,1.04164,0.91606,0.91063,0.94455,0.89352,0.24808,0.27231,0.88381,0.000571106,0.000571106,0.000571106
88,10969.2,0.43646,0.40291,1.04372,0.92984,0.90278,0.94475,0.89521,0.2458,0.26951,0.88157,0.000507115,0.000507115,0.000507115
89,11093.8,0.43386,0.39974,1.04384,0.92612,0.91058,0.9449,0.89422,0.24591,0.26932,0.88169,0.000447606,0.000447606,0.000447606
90,11218.3,0.42854,0.39489,1.04047,0.93724,0.90299,0.9456,0.89406,0.24515,0.26775,0.88092,0.00039264,0.00039264,0.00039264
